# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Oct 27 22:19:14 2025
#
# User preference: *
#
# CONSTRAINT:  where (disc_year = 2019)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HD 136352 c,HD 136352,1,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,27.59221000000,0.00011000000,-0.00011000000,0,0.1721000000,0.0050000000,-0.0050000000,0,2.91600000,0.07500000,-0.07300000,0,0.26014854,0.00669106,-0.00651263,0,11.24000000,0.65000000,-0.63000000,0,0.03536499,0.00204513,-0.00198220,0,Mass,0.000000,,,0,35.1000,2.3000,-2.1000,0,677.00,11.00,-11.00,0,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,,5664.00,61.00,-61.00,0,1.058000,0.019000,-0.019000,0,0.870000,0.040000,-0.040000,0,-0.2400,0.0500,-0.0500,0,[M/H],4.390000,0.110000,-0.110000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.68200000,0.01990000,-0.01980000,5.6500000,0.0300000,-0.0300000,4.1590000,0.0360000,-0.0360000,5.4849500,0.0015675,-0.0015675,2021-08-09,2021-06,2021-08-09
HD 136352 c,HD 136352,0,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,27.58210000000,0.00890000000,-0.00860000000,0,0.1666000000,0.0066000000,-0.0072000000,0,,,,,,,,,10.80000000,1.08000000,-1.05000000,0,0.03400000,0.00340000,-0.00330000,0,Msini,0.040000,0.050000,-0.030000,0,,,,,,,,,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G4 V,5664.00,14.00,-14.00,0,,,,,0.810000,,,0,-0.3400,0.0100,-0.0100,0,[Fe/H],4.390000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.68200000,0.01990000,-0.01980000,5.6500000,0.0300000,-0.0300000,4.1590000,0.0360000,-0.0360000,5.4849500,0.0015675,-0.0015675,2020-12-10,2019-02,2019-02-07
HD 136352 d,HD 136352,0,1,3,Radial Velocity,2019,La Silla Observatory,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,,,,,,,,1.62083261,0.12111160,-0.12111160,0,0.14460125,0.01080487,-0.01080487,0,,,,,,,,,,,,,,335.6075,,,0,1091.64,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5739.00,25.00,-25.00,0,1.026070,0.045106,-0.045106,0,,,,,,,,,,4.510000,0.028000,-0.028000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.68200000,0.01990000,-0.01980000,5.6500000,0.0300000,-0.0300000,4.1590000,0.0360000,-0.0360000,5.4849500,0.0015675,-0.0015675,2024-03-06,2017-07,2024-03-06
HD 136352 d,HD 136352,0,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,107.63000000000,0.18000000000,-0.19000000000,0,0.4285000000,0.0085000000,-0.0076000000,0,,,,,,,,,10.50000000,1.10000000,-1.00000000,0,0.03303653,0.00346097,-0.00314634,0,Msini,0.075000,0.085000,-0.053000,0,5.8000,0.5000,-0.5000,0,433.30,8.60,-8.50,0,0,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,,5850.00,100.00,-100.00,0,1.012000,0.018000,-0.018000,0,0.906000,0.055000,-0.047000,0,-0.2500,0.1200,-0.1200,0,[Fe/H],4.385000,0.029000,-0.027000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.68200000,0.01990000,-0.01980000,5.6500000,0.0300000,-0.0300000,4.1590000,0.0360000,-0.0360000,5.4849500,0.0015675,-0.0015675,2020-12-10,2020-09,2020-12-17
HD 136352 d,HD 136352,1,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,107.24500000000,0.05000000000,-0.05000000000,0,0.4250000000,0.0120000000,-0.0120000000,0,2.56200000,0.08800000,-0.07900000,0,0.22856672,0.00785085,-0.00704792,0,8.82000000,0.93000000,-0.92000000,0,0.02775082,0.00292611,-0.00289464,0,Mass,0.000000,,,0,5.7400,0.3800,-0.3500,0,431.00,7.00,-7.00,0,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,,5664.00,61.00,-61.00,0,1.058000,0.019000,-0.019000,0,0.870000,0.040000,-0.040000,0,-0.2400,0.0500,-0.0500,0,[M/H],4.390000,0.110000,-0.110000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.68200000,0.01990000,-0.01980000,5.6500000,0.0300000,-0.0300000,4.1590000,0.0360000,-0.0360000,5.4849500,0.0015675,-0.0015675,2021-08-09,2021-06,2021-08-09
HD 136352 d,HD 136352,0,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,107.59830000000,0.27960000000,-0.26690000000,0,0.4128000000,0.0163000000,-0.0175000000,0,,,,,,,,,8.58000000,1.18000000,-1.15000000,0,0.02700000,0.00370000,-0.00360000,0,Msini,0.090000,0.100000,-0.070000,0,,,,,,,,,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G4 V,5664.00,14.00,-14.00,0,,,,,0.810000,,,0,-0.3400,0.0100,-0.0100,0,[Fe/H],4.390000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.68200000,0.01990000,-0.01980000,5.6500000,0.0300000,-0.0300000,4.1590000,0.0360000,-0.0360000,5.4849500,0.0015675,-0.0015675,2020-12-10,2019-02,2019-02-07
HD 15337 b,HD 15337,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DUMUSQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..43D/abstract target=ref>Dumusque et al. 2019</a>,4.75642000000,0.00021000000,-0.00020000000,0,0.0524500000,0.0008500000,-0.0007200000,0,1.69900000,0.06200000,-0.05900000,0,0.15160000,0.00550000,-0.00530000,0,7.20000000,0.81000000,-0.81000000,0,0.02265362,0.00254853,-0.00254853,0,Mass,0.170000,0.090000,-0.090000,0,,,,,1006.00,13.00,-14.00,0,0,<a refstr=DUMUSQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..43D/abstract target=ref>Dumusque et al. 2019</a>,,5131.00,74.00,-74.00,0,0.839000,0.018000,-0.016000,0,0.851000,0.042000,-0.034000,0,0.0300,0.0400,-0.0400,0,[Fe/H],4.370000,0.130000,-0.130000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.81550000,0.07070000,-0.07040000,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,8.8559800,0.0001780,-0.0001780,2019-10-02,2019-07,2019-10-10
HD 15337 b,HD 15337,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,4.75615000000,0.00017000000,-0.00017000000,0,0.0522000000,0.0012000000,-0.0012000000,0,1.64000000,0.06000000,-0.06000000,0,0.14631100,0.00535284,-0.00535284,0,7.51000000,1.09000000,-1.01000000,0,0.02362898,0.00342951,-0.00317780,0,Mass,0.090000,0.050000,-0.050000,0,,,,,1001.00,11.50,-11.50,0,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,K1 V,5125.00,50.00,-50.00,0,0.856000,0.017000,-0.017000,0,0.900000,0.030000,-0.030000,0,0.1500,0.1000,-0.1000,0,[Fe/H],4.530000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.81550000,0.07070000,-0.07040000,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,8.8559800,0.0001780,-0.0001780,2019-05-14,2019-05,2019-05-16
HD 15337 b,HD 15337,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,4.75597367929,0.00001854214,-0.00001854214,0,,,,,1.72541702,0.69934960,-0.69934960,0,0.15393166,0.06239190,-0.06239190,0,,,,,,,,,,,,,,161.7314,,,0,909.53,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5175.20,23.62,-23.62,0,0.841842,0.041842,-0.041842,0,,,,,,,,,,4.376570,0.066896,-0.066896,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.81550000,0.07070000,-0.07040000,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,8.8559800,0.0001780,-0.0001780,2024-09-16,2017-07,2024-09-16
HD 15337 b,HD 15337,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ROS_AMP_AACUTE_RIO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...686A.282R/abstract target=ref>Ros&aacute;rio et al. 2024</a>,4.75598040000,0.00000620000,-0.00000370000,0,,,,,1.77000000,0.03200000,-0.03000000,0,0.15790910,0.00285485,-0.00267643,0,6.51900000,0.40900000,-0.40000000,0,0.02051107,0.00128686,-0.00125854,0,Mass,0.058000,0.022000,-0.016000,0,,,,,,,,,0,<a refstr=ROS_AMP_AACUTE_RIO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...686A.282R/abstract target=ref>Ros&aacute;rio et al. 2024</a>,,5131.00,74.00,-74.00,0,0.855000,0.008000,-0.008000,0,0.829000,0.038000,-0.038000,0,0.0300,0.0400,-0.0400,0,[Fe/H],4.480000,0.040000,-0.040000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.81550000,0.07070000,-0.07040000,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,8.8559800,0.0001780,-0.0001780,2025-02-12,2024-06,2025-02-12
HD 15337 c,HD 15337,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DUMUSQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..43D/abstract target=ref>Dumusque et al. 2019</a>,17.17840000000,0.00160000000,-0.00150000000,0,0.1235000000,0.0020000000,-0.0017000000,0,2.52200000,0.10600000,-0.10200000,0,0.22500000,0.00950000,-0.00910000,0,8.79000000,1.68000000,-1.68000000,0,0.02765629,0.00528584,-0.00528584,0,Mass,0.190000,0.100000,-0.100000,0,,,,,656.10,8.40,-9.00,0,0,<a refstr=DUMUSQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..43D/abstract target=ref>Dumusque et al. 2019</a>,,5131.00,74.00,-74.00,0,0.839000,0.018000,-0.016000,0,0.851000,0.042000,-0.034000,0,0.0300,0.0400,-0.0400,0,[Fe/H],4.370000,0.130000,-0.130000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.81550000,0.07070000,-0.07040000,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,8.8559800,0.0001780,-0.0001780,2019-10-02,2019-07,2019-10-10
HD 15337 c,HD 15337,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ROS_AMP_AACUTE_RIO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...686A.282R/abstract target=ref>Ros&aacute;rio et al. 2024</a>,17.18054600000,0.00002100000,-0.00002600000,0,,,,,2.52600000,0.08600000,-0.07500000,0,0.22535501,0.00767242,-0.00669106,0,6.79200000,1.30200000,-1.14300000,0,0.02137002,0.00409655,-0.00359628,0,Mass,0.096000,0.059000,-0.045000,0,,,,,,,,,0,<a refstr=ROS_AMP_AACUTE_RIO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...686A.282R/abstract target=ref>Ros&aacute;rio et al. 2024</a>,,5131.00,74.00,-74.00,0,0.855000,0.008000,-0.008000,0,0.829000,0.038000,-0.038000,0,0.0300,0.0400,-0.0400,0,[Fe/H],4.480000,0.040000,-0.040000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.81550000,0.07070000,-0.07040000,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,8.8559800,0.0001780,-0.0001780,2025-02-12,2024-06,2025-02-12
HD 15337 c,HD 15337,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,17.18072135901,0.00004576963,-0.00004576963,0,,,,,2.19540344,1.62912520,-1.62912520,0,0.19586111,0.14534107,-0.14534107,0,,,,,,,,,,,,,,29.1782,,,0,592.77,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5175.20,23.62,-23.62,0,0.841842,0.041842,-0.041842,0,,,,,,,,,,4.376570,0.066896,-0.066896,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.81550000,0.07070000,-0.07040000,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,8.8559800,0.0001780,-0.0001780,2024-09-16,2017-07,2024-09-16
HD 15337 c,HD 15337,0,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,17.17840000000,0.00160000000,-0.00160000000,0,0.1268000000,0.0038000000,-0.0038000000,0,2.39000000,0.12000000,-0.12000000,0,0.21322152,0.01070568,-0.01070568,0,8.11000000,1.82000000,-1.69000000,0,0.02551679,0.00572633,-0.00531731,0,Mass,0.050000,0.060000,-0.040000,0,,,,,642.00,10.00,-10.00,0,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,K1 V,5125.00,50.00,-50.00,0,0.856000,0.017000,-0.017000,0,0.900000,0.030000,-0.030000,0,0.1500,0.1000,-0.1000,0,[Fe/H],4.530000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.81550000,0.07070000,-0.07040000,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,8.8559800,0.0001780,-0.0001780,2019-05-14,2019-05,2019-05-16
HD 181234 b,HD 181234,1,1,1,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,7593.40512000000,113.61020000000,-121.82598000000,0,7.4270000000,0.3040000000,-0.3400000000,0,,,,,,,,,2980.91262925,321.00669107,-315.60360815,0,9.37900000,1.01000000,-0.99300000,0,Mass,0.726000,0.010000,-0.010000,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,0.940000,0.118000,-0.118000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m59.97s,289.9998695,-09d19m29.89s,-9.3249700,47.74580000,0.12980000,-0.12900000,8.5900000,0.0300000,-0.0300000,6.6890000,0.0200000,-0.0200000,8.3692600,0.0003760,-0.0003760,2023-06-12,2022-09,2023-06-12
HD 181234 b,HD 181234,0,1,1,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>,7450.00000000000,120.00000000000,-100.00000000000,0,7.5200000000,0.1600000000,-0.1700000000,0,,,,,,,,,3219.60176291,235.19302118,-200.23189641,0,10.13000000,0.74000000,-0.63000000,0,Mass,0.725400,0.009400,-0.009400,0,,,,,,,,,0,<a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>,G8 IV,5386.00,60.00,-60.00,0,,,,,1.010000,0.060000,-0.060000,0,0.3200,0.0500,-0.0500,0,[Fe/H],4.250000,0.110000,-0.110000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m59.97s,289.9998695,-09d19m29.89s,-9.3249700,47.74580000,0.12980000,-0.12900000,8.5900000,0.0300000,-0.0300000,6.6890000,0.0200000,-0.0200000,8.3692600,0.0003760,-0.0003760,2023-06-12,2023-05,2023-06-12
